,SK_ID,FLAG_DOCUMENT_21,FLAG_PHONE,YEARS_BUILD_AVG,COMMONAREA_AVG,LIVE_CITY_NOT_WORK_CITY,REG_CITY_NOT_LIVE_CITY,LIVINGAPARTMENTS_MEDI,FLAG_DOCUMENT_10,FLAG_DOCUMENT_17,AMT_GOODS_PRICE
0,100004,0,1,,,0,0,,0,0,135000€
1,100006,0,0,,,0,0,,0,0,297000€
2,100012,0,0,,,0,0,,0,0,405000€
3,100014,0,0,,,0,0,,0,0,652500€
4,100015,0,1,,,0,0,,0,0,135000€
5,100017,0,0,0.7348,0.0582,0,0,0.1223,0,0,697500€
6,100018,0,0,0.9796,0.1143,0,0,0.2899,0,0,679500€
7,100019,0,0,,,0,1,,0,0,247500€
8,100030,0,1,0.7008,0.001,0,0,0.0599,0,0,225000€
9,100032,0,0,,,1,0,,0,0,270000€
10,100034,0,0,0.7688,0.0188,0,0,0.1231,0,0,180000€
11,100035,0,0,,,0,0,,0,0,477000€
12,100040,0,0,0.6736,0.0056,0,0,0.0684,0,0,1125000€
13,100043,0,1,,,0,0,,0,0,553500€
14,100045,0,1,,,0,0,,0,0,225000€
15,100048,0,1,,,1,0,,0,0,540000€
16,100049,0,1,,,0,0,,0,0,238500€
17,100051,0,0,,,1,0,,0,0,598500€
18,100055,0,1,,,0,0,,0,0,1350000€
19,100058,0,0,,,0,0,,0,0,135000€
20,100059,0,1,0.7416,,0,0,,0,0,675000€
21,100060,0,0,,,0,0,,0,0,454500€
22,100062,0,1,0.7892,,0,0,,0,0,675000€
23,100063,0,1,0.728,0.0385,0,0,0.0975,0,0,666000€
24,100069,0,0,,,1,0,,0,0,517500€
25,100071,0,0,0.7824,0.0096,0,0,0.071,0,0,1588500€
26,100078,0,0,,,0,0,,0,0,1035000€
27,100086,0,0,,,0,0,,0,0,675000€
28,100088,0,0,,,0,0,,0,0,135000€
29,100098,0,0,,,0,0,,0,0,270000€
30,100100,0,0,,,1,0,,0,0,643500€
31,100103,0,0,,,0,0,,0,0,450000€
32,100104,0,1,,,0,0,,0,0,472500€
33,100105,0,1,,,0,0,,0,0,225000€
34,100112,0,0,,,1,0,,0,0,900000€
35,100113,0,0,,,0,0,,0,0,135000€
36,100114,0,0,,,0,1,,0,0,225000€
37,100119,0,0,,,0,0,,0,0,180000€
38,100120,0,0,,,1,0,,0,0,675000€
39,100121,0,1,,,0,0,,0,0,679500€
40,100122,0,1,0.9864,0.1221,0,0,0.2608,0,0,675000€
41,100126,0,0,,,1,0,,0,0,180000€
42,100133,0,0,,,1,0,,0,0,270000€
43,100134,0,0,,,0,0,,0,0,180000€
44,100138,0,0,,,0,0,,0,0,688500€
